Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2019,26.4,33.4,28.9,77,0,1,5,300,1,C
02-01-2019,26,34.4,29,76,0,2.8,3,310,0,C
03-01-2019,25.6,31.4,27.3,83,15.7,7.2,3,210,0,C
04-01-2019,24.8,31.7,27.7,83,2.9,0,4,30,1,C
05-01-2019,25,33,29.1,78,1.6,1.5,4,330,1,C
06-01-2019,26.5,34.4,30.4,74,1.7,4,3,330,1,NW
07-01-2019,27.2,33.8,29.2,80,0,7.9,3,350,1,C
08-01-2019,25,33.8,29.4,77,20,5,4,320,1,C
09-01-2019,26,34,29.7,77,0.6,5.3,4,360,1,C
10-01-2019,27,34.5,29.8,75,1.5,,4,30,2,C
11-01-2019,26.6,34.5,29.7,74,8888,7.4,4,310,1,C
12-01-2019,25.8,34,28.9,78,,7.2,3,310,1,C
13-01-2019,25.5,34.2,29,76,0,2,3,80,1,C
14-01-2019,25.5,34.4,29.8,76,0,6.5,5,300,2,C
15-01-2019,25.2,35,28.3,81,4,8.2,4,10,1,C
16-01-2019,25.2,31.8,27.7,86,42.6,8.6,3,330,1,C
17-01-2019,24.6,31.5,27.1,89,33,0,3,300,1,C
18-01-2019,24.7,33.2,27.9,84,103.5,2.8,6,20,2,C
19-01-2019,25,32.6,27.5,87,13.7,9,4,300,0,C
20-01-2019,25.4,33.4,28.5,83,65.6,3.7,6,340,1,C
21-01-2019,25.6,34,28.7,82,21.6,7.5,2,210,0,C
22-01-2019,25.5,32.4,27.9,83,0,6.5,5,310,2,W
23-01-2019,24.8,31.7,27.5,83,4.6,0.1,2,230,0,C
24-01-2019,24.3,33.2,27.8,84,17.6,1.3,4,310,1,C
25-01-2019,24.8,32.2,27.7,85,17.2,4.2,3,260,1,C
26-01-2019,25.5,32.4,27.7,84,1.5,3.8,8,40,1,C
27-01-2019,25.8,30.5,27.2,86,2,4.8,3,290,0,C
28-01-2019,24.8,28.6,26.4,90,18.6,1.2,3,300,0,C
29-01-2019,25,30.8,27.4,85,8888,0,3,320,1,C
30-01-2019,25.8,33.2,28.4,84,0,0.5,2,340,0,C
31-01-2019,25.9,32.5,27.2,84,7.8,7.4,4,280,1,C
01-02-2019,24.4,33.4,27.2,84,13,0.6,6,330,1,C
02-02-2019,24.4,33.2,27.2,85,92.3,3.7,4,330,1,NW
03-02-2019,24.4,33.4,27.5,84,41,2.6,6,320,1,C
04-02-2019,24.6,34,27.5,84,16,8,3,360,1,C
05-02-2019,23.4,33.9,27.8,85,57,6.8,4,330,1,C
06-02-2019,25.8,33,28.5,81,26.8,6.8,5,320,1,C
07-02-2019,24.7,34,27.7,85,8.7,6.2,5,140,1,C
08-02-2019,25.2,32.8,28.4,82,7.7,6.5,3,350,0,C
09-02-2019,25.8,33.6,28.8,82,0,5.2,3,90,1,C
10-02-2019,25.8,33.8,29.4,78,1.6,5.9,6,330,1,C
11-02-2019,25.6,32.8,28.7,80,12.9,6.8,4,30,1,C
12-02-2019,25.8,31.4,27.6,84,7.5,4.2,3,330,1,C
13-02-2019,26,34,29,78,3.4,0.6,5,30,1,C
14-02-2019,26,31,27.8,84,5,8,4,100,1,C
15-02-2019,25.5,33.4,29.1,79,6.5,2,4,80,2,S
16-02-2019,25,34.1,29,79,1.4,8.2,6,300,2,C
17-02-2019,25.4,34.4,29.4,75,0,8.8,3,320,1,C
18-02-2019,26.6,34.2,29.2,76,0.3,8.2,4,150,1,C
19-02-2019,25.7,31.5,28.2,81,0,5.1,3,20,1,S
20-02-2019,26,31.8,28.2,84,,3.2,3,310,1,C
21-02-2019,25.5,31.8,28.1,81,12.4,0.4,4,80,1,C
22-02-2019,25.8,31.2,28.6,80,0,1.5,3,350,1,C
23-02-2019,25,32.7,28.4,79,3,1.7,3,320,1,C
24-02-2019,25.8,34.4,29.4,77,0,4.8,3,320,1,C
25-02-2019,26,34.8,29.7,74,0,5.2,4,70,1,C
26-02-2019,25.8,34.4,30,76,0,4.1,5,70,1,E
27-02-2019,27.6,34.8,30.6,71,0,8.7,6,80,2,E
28-02-2019,27.2,33.3,30,75,0,6.6,5,150,1,C
01-03-2019,26.7,33.1,29.7,77,9.7,3.1,5,80,1,C
02-03-2019,26,32.2,27.5,86,17,5.7,3,70,1,E
03-03-2019,25.7,30.4,27.5,84,2.8,3,2,320,0,C
04-03-2019,26.3,33.2,28.9,80,8888,0.8,4,80,1,C
05-03-2019,26.8,33.2,29,80,0,2.8,4,300,1,C
06-03-2019,24.8,31,27,86,6.2,4.8,4,320,1,C
