Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2018,26.2,33.2,28.6,78,0,4.2,4,110,1,N
02-01-2018,25.8,33.2,28,83,2.9,1.1,2,50,0,N
03-01-2018,25.7,34.1,29,80,1,1.7,2,90,0,N
04-01-2018,26.2,33.6,28.9,83,,7,2,280,1,N
05-01-2018,24.8,33.7,28.2,82,3,3.5,2,290,0,N
06-01-2018,25,32.5,27.9,81,0,4,4,310,1,N
07-01-2018,24.4,31,26.8,88,9.5,4.8,3,290,0,N
08-01-2018,24.1,33,28.2,80,0.5,0,6,310,1,N
09-01-2018,25,34.3,29.3,76,0,3.7,4,270,1,N
10-01-2018,25,35.2,28.4,82,1.5,6,4,280,2,W
11-01-2018,25,32.5,27.6,83,26.1,6.9,6,270,2,W
12-01-2018,24.4,33,27.9,78,8.2,1.9,3,260,1,W
13-01-2018,25.2,31.2,28.2,79,0,1.2,5,290,1,N
14-01-2018,25.7,31.6,28.1,78,0,0,4,270,2,W
15-01-2018,26.2,32.6,28.5,80,0,0,4,270,2,W
16-01-2018,26,32.8,28.7,79,8888,0.9,7,270,2,N
17-01-2018,25.6,33.6,29.2,76,,2,4,270,2,W
18-01-2018,25.6,33.5,28.4,81,0,0.3,4,270,1,N
19-01-2018,24.2,33.4,26.9,88,39.6,2.5,4,260,1,N
20-01-2018,24.6,31.2,26.6,87,47,2.5,4,270,1,N
21-01-2018,24.6,32.2,28,81,20.5,1,5,220,3,SW
22-01-2018,26,32,28.2,80,,1,4,280,2,W
23-01-2018,24.5,30.2,27.1,87,6.6,1.4,5,270,2,W
24-01-2018,25.3,31.4,28.3,82,2.8,0.1,4,290,1,W
25-01-2018,25,32.4,27.3,86,10.8,3.7,25,260,3,W
26-01-2018,25.8,32.4,27.4,84,2,2.5,5,270,3,W
27-01-2018,25,32.2,28.6,80,4.4,2,5,280,2,W
28-01-2018,26,31.6,28.5,81,0,4,9,210,3,W
29-01-2018,25.5,32.9,28.7,79,0,2.6,7,250,3,W
30-01-2018,25.6,33.4,28.5,79,0,3.6,8,310,3,W
31-01-2018,25,30.8,27.1,86,4.4,6,4,270,2,W
01-02-2018,25.7,31.6,27.3,87,9.2,0.2,5,270,1,N
02-02-2018,24.8,32.6,28.5,80,0,2.2,4,250,1,N
03-02-2018,25.2,31.6,27.6,85,30.2,4.5,6,250,2,W
04-02-2018,25.4,32.9,28.6,78,6.8,1.8,7,260,2,N
05-02-2018,26,34.6,28.4,80,0,7.2,5,280,2,SW
06-02-2018,24.4,31.8,27.6,77,0,3.5,7,250,2,SW
07-02-2018,24.7,33.2,29.7,72,0,2.4,6,260,2,W
08-02-2018,25.5,30.4,26.5,86,8888,7.8,5,250,1,N
09-02-2018,24,32.6,27.2,84,40,2,4,270,1,N
10-02-2018,24.2,32.8,28,81,7,4.1,7,220,2,N
11-02-2018,24.6,32.4,27.8,83,0,8.2,6,0,2,W
12-02-2018,25.2,33.2,28.6,78,0,4.4,5,250,3,SW
13-02-2018,25.9,33.6,28.1,80,8888,6.7,4,310,2,W
14-02-2018,25.5,34.6,28.8,81,3.4,3.8,5,270,3,W
15-02-2018,25,33.2,27.7,81,,6,4,240,2,SW
16-02-2018,23.8,32.2,27.8,81,46.3,3.8,5,360,2,N
17-02-2018,24.2,33.2,28.3,80,11.6,4.3,6,250,2,W
