Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2021,24.6,33.2,28.6,80,33,2.5,3,190,1,C
02-01-2021,25.3,31.8,27.7,84,0,1.2,3,360,0,C
03-01-2021,25.5,32.1,27.7,84,12.9,2,6,360,0,C
04-01-2021,25.5,31.4,28.1,80,17.9,3.5,3,140,1,S
05-01-2021,25.2,32.4,27.3,87,2.8,2.5,5,350,1,C
06-01-2021,25.4,32.3,28.3,82,5.2,2.2,7,60,1,C
07-01-2021,24.8,32.2,26.8,87,3,5.4,3,360,1,C
08-01-2021,24.8,32.5,28.1,81,50.3,2.2,3,10,2,N
09-01-2021,25,32.9,28.7,79,8888,3,4,360,1,C
10-01-2021,25.3,31.4,27.4,88,6.5,5.1,3,360,1,C
11-01-2021,25.2,32.2,28,84,5,1,3,10,0,C
12-01-2021,25.4,33,28.2,84,1.6,1.7,4,360,1,C
13-01-2021,25.4,33,27.5,87,,0.8,3,10,1,N
14-01-2021,25.4,33.6,28.5,78,23.6,2.3,3,10,1,C
15-01-2021,25.5,30.5,28.1,78,8888,3.7,4,340,1,C
16-01-2021,25.9,31.2,28,79,0,0,2,360,0,C
17-01-2021,25.4,33,28.2,78,0,0,5,360,2,C
18-01-2021,25.2,32.6,26.9,85,0,1.2,6,20,1,C
19-01-2021,25.1,29.8,26.8,84,3.5,4,2,360,0,C
20-01-2021,24.9,33,27.3,84,0.1,0,2,360,1,C
21-01-2021,24.4,32.5,28.2,82,6.7,3,6,350,2,N
22-01-2021,25,32.6,27.3,86,11.8,3.9,4,360,1,C
23-01-2021,24.4,31.2,27.9,83,35.5,5.5,3,360,1,C
24-01-2021,24.6,32.4,27.2,86,30.5,1.1,4,10,1,C
25-01-2021,24.4,32.2,26.4,85,22.5,3.5,6,10,1,C
26-01-2021,24,33.8,27.5,81,0,1,3,340,1,C
27-01-2021,24.7,33.4,27.5,80,75.5,5,2,10,0,C
28-01-2021,24.8,31.5,27.5,80,1.5,4.7,6,10,2,N
29-01-2021,25.1,31.6,27.7,81,8888,2.3,5,350,1,C
30-01-2021,24.4,28.5,26.6,86,8888,2.9,4,10,1,N
31-01-2021,24.6,30.1,27.4,85,8888,0,2,60,1,C
01-02-2021,25,32.8,27.7,83,22.6,4.8,7,10,2,N
