Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2016,25.2,33.3,29.1,77,16.4,4.8,2,50,0,N
02-01-2016,26.8,32.3,29.6,80,1.6,1.5,5,130,1,N
03-01-2016,25.8,34.3,29.1,78,8.3,2,5,280,0,N
04-01-2016,25.6,33,29.2,81,64,5,4,60,1,N
05-01-2016,,33.2,29,80,,2.8,3,20,1,N
06-01-2016,26,34.9,30.2,73,8888,2.3,4,50,1,N
07-01-2016,26.5,35.2,31,67,,9.3,3,20,1,N
08-01-2016,27,35.8,30.7,73,0,10,3,300,1,N
09-01-2016,26.2,35.2,30.1,73,0,8.9,3,60,0,N
10-01-2016,27,35.1,30.1,74,,8.5,3,50,1,N
11-01-2016,26.7,33.4,28.8,78,0,5.5,2,350,0,N
12-01-2016,25.4,34.6,29.2,74,,2.2,4,70,1,N
13-01-2016,26,35,30.3,73,8888,7.5,3,90,1,NE
14-01-2016,27,36,30.9,70,1,7.6,4,70,2,E
15-01-2016,28,35.6,31.2,70,0,9.6,4,70,1,N
16-01-2016,27.4,35.6,31.4,67,8888,9.8,4,70,1,N
17-01-2016,27.6,33.7,29.5,77,,9.8,3,50,1,N
18-01-2016,26.2,34.6,29.8,74,,4.5,3,300,1,NW
19-01-2016,27.1,35.2,30.7,72,0,6.8,4,320,1,NW
20-01-2016,26.4,34.2,28.5,80,0,8.9,9,270,1,N
21-01-2016,25.9,32.4,28.8,79,1.3,4.6,2,310,0,N
22-01-2016,25.4,33.6,28.3,79,0.4,0.9,3,320,1,N
23-01-2016,26,32.2,27.5,87,0,4.6,3,310,1,N
24-01-2016,26,29.8,27.2,85,7.8,2.8,7,310,1,N
25-01-2016,25.3,33.3,28.1,81,1.8,0,3,310,1,N
26-01-2016,23.6,31.2,27.5,84,67.9,5.8,3,320,1,N
27-01-2016,25,33.6,27.8,82,0.8,1,3,300,1,W
28-01-2016,24,34,28.8,76,34.5,4,5,310,2,N
29-01-2016,25,35.4,30.7,72,0,7.1,8,310,2,N
30-01-2016,25.8,34.2,29,83,83,8.4,4,320,2,N
31-01-2016,27,32.6,29,80,8888,8,4,310,1,N
01-02-2016,25.4,33.6,27.3,88,21,2,7,270,2,N
02-02-2016,26.2,33,28.5,82,16.4,3.4,5,320,1,N
03-02-2016,25.8,33.3,29,73,1,4,2,240,1,N
04-02-2016,26.4,33.6,29.2,76,8888,0.3,4,320,1,NW
05-02-2016,26.6,32,28,84,0.8,6,8,270,1,N
06-02-2016,25.2,34.2,28.7,80,4.2,0.4,4,80,1,N
07-02-2016,25.6,32.2,27.6,86,65.8,5.4,2,290,1,N
08-02-2016,25.4,32.8,27.8,84,2.6,0.5,3,310,1,N
09-02-2016,25.6,33.3,28.3,86,43.1,4.6,4,100,1,N
10-02-2016,25.5,30.4,27,90,1,2,3,220,0,N
11-02-2016,25.4,30.4,27.6,84,19.7,0.3,3,320,1,N
12-02-2016,24.9,30.6,27.1,87,22.5,0,2,320,0,N
13-02-2016,25.2,33,28.8,79,0.5,0,3,290,1,N
14-02-2016,25.8,34.2,29.4,76,,1.4,3,130,1,N
15-02-2016,27.6,30.2,28.1,84,0.2,7.4,3,290,0,N
16-02-2016,25.7,32.6,28.5,85,13.6,0,2,300,0,N
17-02-2016,25.8,34.2,29.7,75,18.4,4,7,310,2,N
18-02-2016,24.6,34.8,29.1,79,32.4,9,4,280,1,N
19-02-2016,25.8,34.5,29.4,77,5.7,9,5,280,1,N
20-02-2016,26.4,34.4,30,76,1.5,8,5,330,2,N
21-02-2016,26.8,31.6,27.8,84,2,8.3,3,180,0,N
22-02-2016,25.2,32.9,28.7,82,10,1.2,3,290,1,N
23-02-2016,25.2,34,28.1,81,3.1,5.2,5,160,1,N
24-02-2016,25,34,27.8,85,4.6,8.5,6,320,2,N
25-02-2016,25.2,34.6,27.9,85,11.6,8.5,6,290,2,N
26-02-2016,25,34,27.7,86,60.1,9,4,310,1,N
27-02-2016,25,32.4,27.3,87,43.8,3.6,3,290,1,N
28-02-2016,25.1,33.6,28.4,80,20.1,1.3,4,300,1,N
29-02-2016,25.4,33.4,28.7,79,1.3,6.3,8,320,3,W
01-03-2016,26,33.6,27.9,82,4.2,6.6,3,280,1,N
02-03-2016,26,33.2,28.3,82,6.6,3.6,4,320,1,N
03-03-2016,25.7,34.3,28.2,85,4.5,2.2,3,310,1,N
04-03-2016,25.2,34,28.9,80,36.4,6.5,4,310,1,N
05-03-2016,25.4,32.7,28.4,83,0,5,3,290,0,N
