Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2017,24.8,33.8,28.1,85,21.5,1.2,3,300,1,N
02-01-2017,26.2,33.2,28.5,84,31.4,8,6,250,2,N
03-01-2017,26.2,33.4,28.7,83,1.4,4.6,3,300,1,N
04-01-2017,25.8,33.6,29.3,77,8.2,3,3,310,1,N
05-01-2017,25.6,33,29.3,78,1,5.6,5,290,1,N
06-01-2017,25.4,32,28.4,81,8888,3.2,5,290,2,W
07-01-2017,26,34,28.9,79,8888,3.7,5,310,1,N
08-01-2017,26.2,34.1,29.4,78,8888,3.4,3,330,1,NW
09-01-2017,26.4,33.6,28.7,82,,8,4,340,1,N
10-01-2017,25.8,34.6,29.5,77,11.6,5.5,5,290,2,N
11-01-2017,26.4,34.6,29.6,76,1,7.8,5,320,2,N
12-01-2017,25.6,35.3,27.8,83,0,6.2,7,140,2,N
13-01-2017,24.2,33.2,26.9,87,109.8,7.2,5,290,1,N
14-01-2017,23.8,33.6,28.4,77,31.2,4.2,6,280,2,N
15-01-2017,24.3,31.4,27.4,82,50.5,4.3,4,290,1,N
16-01-2017,24.9,30.4,26.7,87,6.6,0.7,4,290,1,N
17-01-2017,24.2,30.6,26.6,86,1,0.4,6,320,1,N
18-01-2017,24.2,33.4,28.5,77,2.5,0.6,7,270,2,N
19-01-2017,25,33.1,28.6,82,,6.7,5,190,2,N
20-01-2017,25.2,32.2,27.6,83,0.9,2.5,3,20,1,N
21-01-2017,25,33.4,27.4,82,31.2,4.3,6,300,2,N
22-01-2017,24.7,32.8,27.7,86,40,6,4,290,1,N
23-01-2017,25,32.6,27.3,85,1.5,4.8,5,270,1,N
24-01-2017,25.2,32.6,29,80,42.8,4.5,3,320,1,N
25-01-2017,26,33,28.4,82,1.8,4,4,310,1,N
26-01-2017,24.4,31.4,26.6,84,3.6,4.6,6,280,1,N
27-01-2017,24.8,31.4,27.9,85,19.1,1.2,6,270,3,W
28-01-2017,25.4,32.4,27.5,84,10.6,2,4,300,1,N
29-01-2017,25.2,,27.1,83,14.4,4,7,290,2,N
30-01-2017,24.6,33.2,27.9,84,18.7,2.2,5,280,1,W
31-01-2017,25.1,32.4,27.2,84,1.4,4.1,5,310,1,N
01-02-2017,25,32.7,27.3,86,1.5,3.5,6,290,2,W
02-02-2017,24.2,30.6,27.1,82,82.4,2.1,4,290,2,W
03-02-2017,24.6,32.8,26.8,82,,0,5,250,2,N
04-02-2017,24.2,32.2,28.1,79,28.9,4.1,4,300,2,W
05-02-2017,25,32.8,28.6,76,,4,5,290,3,W
06-02-2017,25.4,33.8,29,78,,5.3,7,290,3,W
07-02-2017,25.3,32.6,28.3,78,1,6.9,9,310,3,NW
08-02-2017,25.1,29.8,26.8,86,0.5,5.5,6,290,3,W
09-02-2017,24.8,32.3,27.8,81,9,0,6,280,3,W
10-02-2017,25.1,30.2,27.4,82,0,3.5,8,300,2,W
11-02-2017,25.5,31.2,27.4,83,8888,0.1,6,310,2,W
12-02-2017,25.2,31.6,27.4,83,1.3,2.5,3,290,1,N
13-02-2017,24.6,33,27.8,85,13.1,2.1,5,290,1,N
14-02-2017,25.1,32.4,28,82,3.1,5.1,4,340,1,N
15-02-2017,24.4,32.6,27.1,84,21.3,4,3,70,1,N
16-02-2017,24.4,32.8,27.1,85,6.1,4.6,5,300,1,N
17-02-2017,24.4,31.4,26.4,88,22.2,4.6,5,280,1,N
18-02-2017,24.6,32.4,28.1,83,40.9,5.7,4,270,1,N
19-02-2017,25.8,32.9,29,79,0,5,3,310,1,N
20-02-2017,25.8,32.6,28.5,81,8888,7.5,3,320,1,N
21-02-2017,25.1,31.8,27.4,86,,4.5,4,10,1,N
22-02-2017,25.2,33.6,28.1,80,8888,2.3,3,60,1,N
23-02-2017,25.6,34.2,29.7,75,8888,4.8,4,70,1,N
24-02-2017,25.6,33.4,28.6,80,8888,6.5,5,290,1,N
25-02-2017,25,32.4,28.4,80,11.5,6.2,4,310,2,N
26-02-2017,25,33.6,28.3,80,0,3.6,3,320,1,N
27-02-2017,25.4,33.1,29.1,80,2,6.7,2,300,1,N
28-02-2017,25.4,34,28.7,79,8888,2.2,5,280,1,N
01-03-2017,25.2,34,28.9,77,,5.9,4,290,2,N
02-03-2017,24.8,34.2,28.2,79,8888,5.6,4,300,1,NW
03-03-2017,25.5,34.2,29.1,77,8888,7.6,4,50,1,N
04-03-2017,24.6,33.9,29,79,21.3,7.7,3,50,0,N
05-03-2017,25.1,33.6,28.8,78,,6.2,4,290,1,N
06-03-2017,25.6,33.2,28.8,80,,6.2,4,290,1,W
07-03-2017,25.2,33.9,28.3,81,0,2.3,4,300,1,N
08-03-2017,25.4,34.4,28.6,76,8888,6.7,4,280,1,N
09-03-2017,25.6,33.6,29.5,76,1.5,8,3,310,1,N
10-03-2017,26.2,34,29.2,78,1.3,4.8,3,340,1,N
11-03-2017,25.2,33,28.7,77,3.6,2.9,2,70,0,N
12-03-2017,25.4,33.4,27.9,82,,2.2,6,210,2,N
13-03-2017,24,33.4,27,85,24.5,6.4,3,310,1,N
14-03-2017,24.3,33,27.1,85,12.6,3.5,5,290,1,N
15-03-2017,24.7,33.2,28.4,81,11.6,5.3,3,320,1,N
16-03-2017,25.4,33.4,28.3,83,,0,6,340,1,N
17-03-2017,25.4,32.6,29.4,80,19.2,5.8,3,270,1,N
18-03-2017,25.3,31.6,27.1,85,0.6,1.6,3,340,1,N
19-03-2017,25.1,33.4,28.5,81,2.5,2.7,4,310,1,N
20-03-2017,25.2,33.2,27.8,83,29.5,3.7,8,280,2,W
21-03-2017,25.8,32.8,28,82,,6.9,6,320,1,W
22-03-2017,24.9,33.2,28.8,79,3.4,6,7,290,2,W
23-03-2017,26.7,34.1,28.4,81,0,3.3,3,280,1,N
24-03-2017,25.8,34,29.4,79,0.6,3.8,4,310,1,N
25-03-2017,25.5,33.8,28.9,77,,6.2,4,290,2,N
26-03-2017,25,31,26.4,89,17,5.9,3,310,1,N
27-03-2017,24.4,33,27.8,84,65.4,0.3,2,60,1,N
28-03-2017,24.6,32.2,28,85,5.1,4.8,4,300,1,N
29-03-2017,25.2,33.6,28.8,79,2,3.1,4,320,1,N
30-03-2017,25,34.1,28.6,78,8888,6.5,4,70,1,N
31-03-2017,25.6,32.6,28,80,8888,5,3,130,1,N
01-04-2017,24.4,32.8,28.3,81,24.2,2.8,4,300,1,N
02-04-2017,25.1,32.4,28,83,0,5.8,2,310,1,N
