Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2015,25.2,34,27.8,79,1,1.5,6,270,2,W
02-01-2015,25.2,33.4,27.2,85,20.1,5.8,8,270,4,W
03-01-2015,23.8,30.4,27.2,85,47.7,5.1,6,280,2,W
04-01-2015,25,33.2,28.2,77,0.8,,8,290,2,W
05-01-2015,24.8,34.2,28.1,83,10.2,,6,290,2,N
06-01-2015,,33.8,29.2,74,32.8,7.4,4,300,2,W
07-01-2015,24.6,34.2,29.1,73,,,6,290,3,W
08-01-2015,26,34.6,29.7,75,,8.1,7,280,4,W
09-01-2015,26.3,34,30.8,60,0,6.7,7,290,5,W
10-01-2015,25.8,34.8,30.2,61,,3.2,7,270,5,W
11-01-2015,26.2,33.8,29.3,73,,10.1,7,290,3,W
12-01-2015,26.8,32.9,29.1,75,,4.5,7,270,3,W
13-01-2015,25.6,31,26.3,89,3.3,4.4,9,300,2,N
14-01-2015,25,33,28.2,80,3.6,0.3,8,290,3,W
15-01-2015,25.2,32.8,28.8,72,0.6,6,3,270,1,N
16-01-2015,24.5,34.8,28.9,74,0.4,4.5,6,290,2,W
17-01-2015,25.2,32.7,27.4,81,17.9,9.4,13,290,2,N
18-01-2015,25.8,32.6,27.3,86,8888,5,7,290,2,N
19-01-2015,24.6,31.6,27,84,21,2.6,10,280,4,W
20-01-2015,23.6,29.6,26.2,85,139.6,1,4,300,2,W
21-01-2015,24,31.6,27.9,82,8888,0,3,280,1,N
22-01-2015,25.2,32.7,27.7,81,8888,0.2,8,290,2,N
23-01-2015,25.1,32.6,27.4,84,5,6.8,7,240,3,W
24-01-2015,24.8,33.4,27.3,85,5.1,7,6,320,3,W
25-01-2015,24.8,33.2,27.6,85,34.3,8.4,8,290,2,W
26-01-2015,23.6,32.4,27.5,82,15.3,7.4,5,290,3,W
27-01-2015,24.5,34.8,28.1,83,,4.3,6,270,2,W
28-01-2015,24,33.2,27.1,86,29.1,8.3,5,270,2,W
29-01-2015,24.6,33.8,27.8,83,83.4,6.5,7,310,3,W
30-01-2015,24.8,33.6,28.1,80,28.8,7,5,220,3,W
